Link,Địa chỉ,Mức giá,Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Hướng nhà,Hướng ban công,Pháp lý,Nội thất,Số tầng,Mặt tiền,Đường vào
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-bach-mai-phuong-bach-mai/-180m2-tai-p-hai-ba-trung-gia-chi-8-3-ty-goc-view-p-noi-that-vip-pr43094018,"Phố Bạch Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội","8,3 tỷ",180 m²,3 phòng,3 phòng,Đông - Nam,Nam,Hợp đồng mua bán,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-chi-thanh-phuong-lang-ha/ban-phan-lo-ngo-o-to-kinh-doanh-52m2-nhinh-16-ty-pr43089120,"Đường Nguyễn Chí Thanh, Phường Láng Hạ, Đống Đa, Hà Nội","16,4 tỷ",52 m²,,,,,Sổ đỏ/ Sổ hồng,Cơ bản,,"3,3 m",
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-my-dinh-1-prj-vinhomes-skylake/ban-3pn-view-gia-12-ty-vinmes-skylake-pr42991110,"Dự án Vinhomes Skylake, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",12 tỷ,100 m²,3 phòng,2 phòng,Đông - Nam,Tây - Bắc,Sổ đỏ/ Sổ hồng,Nội thất cơ bản.,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hoang-quoc-viet-phuong-xuan-la-prj-du-an-hoc-vien-quoc-phong/-131m-3n2vs-9-ty-cc-c-png-full-noi-that-dep-tang-trung-dep-o966769078-pr42694215,"Dự án Học Viện Quốc Phòng, Đường Hoàng Quốc Việt, Phường Xuân La, Tây Hồ, Hà Nội","7,9 tỷ",136 m²,3 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất đẹp thiết kế hiện đại trẻ trung.,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-ngoc-thuy-phuong-ngoc-thuy/ban-pho-dep-lo-goc-37-4m2-6-3ty-pr43067855,"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội","6,3 tỷ","37,4 m²",,,,,,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-mai-dich/ban-lo-goc-tran-binh-cau-giay-150m2-phan-lo-khu-quan-doi-view-dep-an-ninh-tuyet-doi-pr42821617,"Phường Mai Dịch, Cầu Giấy, Hà Nội",40 tỷ,150 m²,6 phòng,6 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,4 tầng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-van-dong-phuong-dong-ngac-prj-sunshine-city/ban-3-ngu-tang-trung-96-8-m2-tng-thuy-full-do-dep-8-8-ty-so-pr43111005,"Dự án Sunshine City, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội","8,8 tỷ","96,8 m²",3 phòng,2 phòng,Bắc,Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-hong-phuong-lang-ha/ban-phan-lo-vip-69m-mat-tien-khung-5-6m-gia-28-ty-pr43111003,"Đường Nguyên Hồng, Phường Láng Hạ, Đống Đa, Hà Nội",28 tỷ,69 m²,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,4 tầng,"5,6 m",
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-xuan-la-prj-6th-element/danh-sach-ban-moi-tay-cam-ket-gia-tot-nhat-thi-truong-pr42879491,"Dự án 6th Element, Phường Xuân La, Tây Hồ, Hà Nội",8 tỷ,85 m²,2 phòng,2 phòng,,,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-phung-hung-1-phuong-phuc-la-prj-khu-do-thi-moi-xa-la/cc-dep-xuat-sac-ban-tai-kdt-3-1-ty-67m2-2pn-2wc-pr42537429,"KĐT Xa La, Phố Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội","3,1 tỷ",67 m²,2 phòng,2 phòng,Đông - Nam,Tây - Bắc,Sổ đỏ/ Sổ hồng,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-xuan-la-prj-kdt-tay-ho-tay-starlake-ha-noi/ch-penhouse-duplex-230m-4n3vs-37-ty-full-do-dep-view-song-hong-cc-ho-pr42879547,"KĐT Tây Hồ Tây - Starlake Hà Nội, Xuân La, Tây Hồ, Hà Nội",30 tỷ,230 m²,4 phòng,3 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-dieu-phuong-quang-an-2-prj-d-le-roi-soleil/ch-104m-3n3vs-14-8-ty-cc-dle-so-2-dang-thai-mai-tay-nha-dep-nhu-tranh-o966769078-pr43068615,"Dự án D’. Le Roi Soleil , Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội","14,8 tỷ",104 m²,3 phòng,3 phòng,Đông - Bắc,Tây - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-dat-duong-nguyen-van-loc-phuong-mo-lao/sieu-pham-ban-lo-dep-o-to-tranh-ngay-lang-viet-kieu-kdt-ha-dong-50m2-x-5m-chi-10-ty-pr43110991,"Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội","10,8 tỷ",50 m²,,,,,Sổ đỏ/ Sổ hồng,,,5 m,10 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ton-that-thuyet-phuong-dich-vong-hau-prj-sky-park-residence/-7-9-ty-3-ngu-tang-trung-view-dep-87m-so-san-full-noi-o966769078-pr42131548,"Dự án Sky Park Residence, Đường Tôn Thất Thuyết, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",7 tỷ,87 m²,2 phòng,2 phòng,Đông - Nam,,Sổ đỏ/ Sổ hồng,Full nội thất đẹp ở ngay được.,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-quang-dao-phuong-me-tri-prj-the-matrix-one/bang-tong-hop-quy-dep-gia-tot-premium-tang-500-trieu-chiet-khau-len-toi-15-8-pr43110989?c=d1,"The Matrix One, Lê Quang Đạo, Mễ Trì, Nam Từ Liêm, Hà Nội",Thỏa thuận,"83,5 m²",,,,,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-thuy-phuong-dich-vong-hau-prj-mipec-rubik-360/ch-97m-3n2vs-8-7-ty-360-full-noi-that-dep-san-so-o966769078-pr42666416,"Dự án Mipec Rubik 360, Đường Xuân Thủy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",7 tỷ,97 m²,3 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-lang-phuong-lang-thuong/nh-thi-con-dep-nga-tu-cau-giay-79m-4t-dan-xay-oto-tranh-do-ngay-dem-chi-nhinh-15-ty-pr42923976,"Đường Láng, Phường Láng Thượng, Đống Đa, Hà Nội","15,8 tỷ",79 m²,4 phòng,3 phòng,,,Sổ đỏ/ Sổ hồng,Cơ bản,4 tầng,,7 m
https://batdongsan.com.vn/ban-dat-xa-hoa-thach/ban-4543m2-1-trieu-vnd-tai-quoc-oai-ha-noi-pr43110416,"Xã Hòa Thạch, Quốc Oai, Hà Nội",1 triệu/m²,4.543 m²,,,,,Hợp đồng mua bán.,,,73 m,50 m
https://batdongsan.com.vn/ban-dat-xa-tan-xa/ban-tai-3-ty-66-4m2-dep-xuat-sac-uy-tin-pr42813591,"Tân Xã, Thạch Thất, Hà Nội",3 tỷ,"66,4 m²",,,,,,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-lam-1-phuong-sai-dong-prj-khu-do-thi-sai-dong/can-ban-kdt-lo-goc-huong-view-ho-hang-hiem-con-sot-lai-pr43110975,"Sài Đồng, Đường Nguyễn Lam, Phường Sài Đồng, Long Biên, Hà Nội",Thỏa thuận,217 m²,5 phòng,6 phòng,,,Sổ đỏ/ Sổ hồng.,Không nội thất.,4 tầng,20 m,20 m
https://batdongsan.com.vn/ban-nha-rieng-duong-bui-xuong-trach-phuong-khuong-dinh/ban-lo-goc-tx-hai-mat-thoang-ngo-nong-rong-gan-pho-o-suong-pr43110736,"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội","8,35 tỷ",40 m²,4 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,,4 tầng,"3,6 m",4 m
https://batdongsan.com.vn/ban-nha-mat-pho-duong-van-quan-phuong-van-quan/ban-chu-thien-chi-ban-tang-full-noi-that-sin-so-khu-an-ninh-tot-o-suong-pr43110223,"Đường Văn Quán, Phường Văn Quán, Hà Đông, Hà Nội","20,9 tỷ",52 m²,3 phòng,4 phòng,Tây - Nam,,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,"4,6 m",13 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-la-khe-prj-the-terra-an-hung/b-2-ngu-75m2-toa-v1-b-cong-dn-gia-tot-lh-pr42398609,"Dự án The Terra An Hưng, Phường La Khê, Hà Đông, Hà Nội","4,85 tỷ",75 m²,2 phòng,2 phòng,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-cau-giay-phuong-quan-hoa-prj-cau-giay-center-point/ch-2n-1-2vs-80m-chi-6-ty-cc-110-tang-full-noi-that-so-chinh-chu-o966769078-pr42376765,"Cầu Giấy Center Point, 110, Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",6 tỷ,80 m²,3 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,Full đồ nội thất xịn xò ở luôn.,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-minh-khai-phuong-vinh-tuy-prj-vinhomes-times-city-park-hill/ban-cc-3pn-2wc-110m2-tai-10-ty-vnd-lh-pr42917782,"Vinhomes Times City - Park Hill, Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội",10 tỷ,110 m²,3 phòng,2 phòng,Tây - Nam,Tây - Nam,Sổ đỏ/ Sổ hồng,Cơ bản,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-la-khe-prj-the-pride/ban-3pn-3vs-146m2-toa-ha-dong-gia-6-09-ty-day-du-noi-that-lh-pr42470962,"Dự án The Pride, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội","6,45 tỷ",146 m²,3 phòng,3 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hai-au-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/chinh-chu-ban-3n-masteri-full-noi-that-moi-dep-view-thoang-mat-5-230ty-lh-pr42850566,"Vinhomes Ocean Park Gia Lâm, Đường Hải Âu, Xã Dương Xá, Gia Lâm, Hà Nội","5,23 tỷ",78 m²,3 phòng,2 phòng,Đông - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Full nội thất,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-to-huu-phuong-duong-noi-prj-solasta-mansion-duong-noi/chinh-chu-ban-can-dong-nam-30-ty-170m2-mat-tien-8-5m-pr41658558,"Dự án Solasta Mansion, Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội",29 tỷ,170 m²,6 phòng,6 phòng,Đông - Nam,Đông - Nam,Hợp đồng mua bán,Không nội thất,5 tầng,"8,5 m",
https://batdongsan.com.vn/ban-nha-rieng-phuong-van-chuong/-dong-da-dt-36m-x-6-tang-mt-4-6m-gia-7-9-ty-thang-may-gan-pho-gan-ho-pr43110957,"Phường Văn Chương, Đống Đa, Hà Nội","7,9 tỷ",36 m²,4 phòng,5 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,6 tầng,"4,6 m",
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-xa-van-canh-1-prj-moonlight-1-an-lac-green-symphony/lo-shop-sieu-pham-co-1-0-2-gia-dau-tu-qua-tot-chi-8-9-ti-133m2-tiem-nang-x2-x3-sau-3-nam-toi-pr41078954,"Dự án Moonlight 1 - An Lạc Green Symphony, Xã Vân Canh, Hoài Đức, Hà Nội","9,5 tỷ",133 m²,,,,,,,,7 m,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-khac-hieu-phuong-truc-bach/ban-ba-dinh-220m2-11tang-168-ty-dong-tien-600tr-thang-pr42739668,"Đường Nguyễn Khắc Hiếu, Phường Trúc Bạch, Ba Đình, Hà Nội",160 tỷ,220 m²,20 phòng,20 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,11 tầng,8 m,15 m
https://batdongsan.com.vn/ban-dat-duong-le-trong-tan-phuong-la-khe/ban-kinh-doanh-lo-ap-goc-ngay-ha-dong-dt-50m2-4m-doi-dien-tttm-chi-15-ty-pr43110949,"Đường Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội",15 tỷ,50 m²,,,,,Sổ đỏ/ Sổ hồng,,,4 m,20 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-vinhomes-smart-city/-toa-sa5-64m2-gia-chi-5-x-ty-lh-chinh-chu-pr43110697,"Vinhomes Smart City , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",5 tỷ,64 m²,2 phòng,2 phòng,Đông - Bắc,Đông - Nam,Hợp đồng mua bán,Đầy đủ,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-thap-doi-kepler-land/ban-cc-5-836-ty-67-8m2-2pn-2wc-day-du-tien-ich-lh-pr43110692,"Tháp đôi Kepler Land, Mỗ Lao, Hà Đông, Hà Nội","5,84 tỷ","67,8 m²",2 phòng,2 phòng,Tây - Nam,Đông - Bắc,Sổ đỏ/ Sổ hồng,Cơ bản,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-lumi-hanoi/chinh-chu-ban-gap-3-ngu-84m2-dong-nam-view-cong-vien-thanh-pho-view-khong-tam-chan-pr43110215,"Dự án Lumi Hanoi, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",Thỏa thuận,84 m²,3 phòng,,Đông - Nam,,,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-cu-1-phuong-ngoc-lam-2/ban-tai-long-bien-ha-noi-13-9-ty-43m2-5-6-tang-thang-may-gaza-pr43110935,"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội","13,9 tỷ",43 m²,3 phòng,,,,,Nội thất nhập khẩu.,7 tầng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-trai-phuong-thanh-xuan-trung-prj-gold-tower/ban-3pn-2wc-110m2-tai-ha-noi-gia-8-65-ty-pr43107463,"Gold Tower, Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội","8,65 tỷ",110 m²,3 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-luu-huu-phuoc-phuong-my-dinh-2/chinh-chu-can-ban-nhanh-can-ho-72m2-pr42212824,"Đường Lưu Hữu Phước, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",18 tỷ,72 m²,4 phòng,3 phòng,Tây,Tây,Đang chờ sổ,Cơ bản,4 tầng,"4,6 m",4 m
https://batdongsan.com.vn/ban-nha-rieng-duong-bui-xuong-trach-phuong-khuong-trung/cuc-hiem-ban-gap-dep-thanh-xuan-65m-mt-7-7m-4-tang-lo-goc-3-thoang-noi-that-xin-so-pr43110920,"Đường Bùi Xương Trạch, Phường Khương Trung, Thanh Xuân, Hà Nội","12,5 tỷ",65 m²,4 phòng,3 phòng,,,Sổ đỏ/ Sổ hồng,Nội thất cao cấp.,4 tầng,"7,7 m",
https://batdongsan.com.vn/ban-dat-duong-lac-long-quan-phuong-xuan-la/-tay-ho-1-nha-ra-pho-oto-vao-nha-lo-goc-350m2-mt-25m-271-trieu-m2-pr43110424,"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",271 triệu/m²,350 m²,,,,,Sổ đỏ/ Sổ hồng,,,25 m,4 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-da-ton-prj-the-sapphire-2-vinhomes-ocean-park/chinh-chu-gui-ban-2pn-1-2wc-toa-s2-07-view-truong-brighton-tai-lh-pr42017048,"Dự án The Sapphire 2 - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội","3,1 tỷ","64,9 m²",2 phòng,1 phòng,Đông - Nam,Tây - Bắc,Có sổ.,Full nội thất.,,,
https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-phuong-tay-mo-prj-the-sakura-vinhomes-smart-city/cdt-ban-khu-sop-tmdv-khu-kim-cuong-tai-120m2-25-ty-vip-pr42609495,"Dự án The Sakura - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",25 tỷ,120 m²,,,,,,,5 tầng,6 m,
https://batdongsan.com.vn/ban-nha-rieng-pho-ton-duc-thang-phuong-tho-quan/-vip-ngo-nong-ngo-thong-3-gac-38m-5-tang-pr43106166,"Phố Tôn Đức Thắng, Phường Thổ Quan, Đống Đa, Hà Nội","6,83 tỷ",38 m²,3 phòng,3 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tan-mai-phuong-hoang-van-thu-4/ban-cc-60m2-2pn-full-noi-that-tai-ang-ha-noi-3-6-ty-sat-den-lu-c-dau-moi-pr43110881,"Đường Tân Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội","3,6 tỷ",60 m²,2 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-la-khe-prj-bid-residence/quy-recidence-ha-dong-hn-2n-3n-gia-cuc-hap-dan-chi-tu-38tr-m2-pr42825169,"Dự án BID Residence, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội",38 triệu/m²,107 m²,3 phòng,2 phòng,,Đông - Bắc,HĐMB,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-cong-phuong-kien-hung/ban-gap-toa-vp-7-tang-thang-may-view-vien-ngay-hang-be-mau-luong-50m2-x-6m-xay-moi-full-pr43110897,"Đường Hoàng Công, Phường Kiến Hưng, Hà Đông, Hà Nội",17 tỷ,50 m²,4 phòng,5 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,7 tầng,6 m,10 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-van-dong-phuong-co-nhue-2-prj-nha-o-cho-can-bo-chien-sy-bo-cong-an/chinh-chu-ban-70m2-gia-4-x-ty-02pn-noi-that-moi-dep-cc-thai-ha-cs-bca-dong-pr42634397,"Dự án Nhà ở cho CBCS Bộ Công an, 43 Đường Phạm Văn Đồng, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",Thỏa thuận,70 m²,2 phòng,2 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-linh-nam-phuong-linh-nam/ban-tai-hoang-mai-ha-noi-gia-cuc-chat-7-68-ty-33m2-pr43110647,"Đường Lĩnh Nam, Phường Lĩnh Nam, Hoàng Mai, Hà Nội","7,68 tỷ",33 m²,4 phòng,5 phòng,Đông,Đông,Sổ đỏ/ Sổ hồng,Đầy đủ,6 tầng,"4,1 m",6 m
https://batdongsan.com.vn/ban-nha-rieng-pho-lang-ha-phuong-lang-ha/ban-hoa-u-o-to-qua-bai-do-ngay-canh-can-goc-3-thoang-55m2x5t-hon-11-ty-pr42887062,"Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội","11,89 tỷ",55 m²,4 phòng,4 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,4 m,"4,5 m"
https://batdongsan.com.vn/ban-nha-rieng-duong-tran-phu-phuong-van-quan/ban-mat-ngo-kinh-doanh-ngay-ga-hd-50m2-x-3-tang-mat-tien-lon-6-3m-o-to-qua-pr43070413,"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội","12,1 tỷ",50 m²,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,3 tầng,"6,3 m",5 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-giang-bien-1-prj-ruby-city/ban-ruby1-viet-hung-long-70m-2n2wc-goc-tang-trung-so-hong-lau-dai-gia-ban-3-4-ty-pr43110314,"Dự án Ruby City, Phường Giang Biên, Long Biên, Hà Nội","3,4 tỷ",70 m²,2 phòng,2 phòng,Đông - Nam,Đông - Bắc,Sổ đỏ/ Sổ hồng,"Để lại nội thất: Tủ bếp, 3 đh, 02 nl, 1 sofa, 2 tủ áo.",,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-la-khe-prj-anland-complex/gap-ban-75m2-3pn2w-tai-ha-dong-gia-5ty-san-so-lh-pr42984544,"Anland Complex, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội",5 tỷ,75 m²,3 phòng,2 phòng,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-pho-lua-phuong-van-phuc-1/sieu-hiem-ban-ngay-ha-dong-45m-x-5-tang-thang-may-gara-oto-full-noi-that-pr43069960,"Đường Phố Lụa, Phường Vạn Phúc, Hà Đông, Hà Nội","10,6 tỷ",45 m²,6 phòng,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-pho-tran-cung-phuong-co-nhue-1/siem-pham-ngoai-giao-doan-cho-thue-dt-50tr-thang-o-to-30m-120m2-chi-18-x-ty-pr42982222,"Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội","18,9 tỷ",120 m²,10 phòng,10 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,6 m,4 m
https://batdongsan.com.vn/ban-dat-phuong-thach-ban-1/-cuc-hiem-trung-tam-via-he-o-to-tai-tranh-3-buoc-ra-aeon-sat-truc-co-linh-34m2-pr40380848,"Phường Thạch Bàn, Long Biên, Hà Nội","3,68 tỷ",34 m²,,,,,,,,4 m,
https://batdongsan.com.vn/ban-dat-duong-dong-du-1-xa-bat-trang-1/lo-dep-gia-lam-50m-ngo-3-5m-mat-tien-4m-so-do-chinh-chu-pr43110877,"Đường Đông Dư, Xã Bát Tràng, Gia Lâm, Hà Nội","5,25 tỷ",50 m²,,,,,Sổ đỏ/ Sổ hồng.,,6 tầng,"4,06 m","3,5 m"
https://batdongsan.com.vn/ban-nha-rieng-duong-cat-linh-phuong-cat-linh/bao-nam-moi-co-1-ban-o-pho-cach-pho-10m-pr43110626,"Đường Cát Linh, Phường Cát Linh, Đống Đa, Hà Nội","14,6 tỷ",40 m²,4 phòng,5 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,6 tầng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-linh-phuong-thach-ban-1/-dan-xay-tam-huyet-ngo-nong-rong-o-to-gan-48m2-x5-tang-4-5ty-pr40551469,"Đường Nguyễn Văn Linh, Phường Thạch Bàn, Long Biên, Hà Nội","5,5 tỷ",48 m²,5 phòng,,,,Sổ đỏ/ Sổ hồng,,5 tầng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vu-pham-ham-phuong-yen-hoa-2-prj-park-view-city/ban-42-3m-san-so-day-du-noi-that-gia-hon-4-ty-pr42968735,"Park View City, số 3, Đường Vũ Phạm Hàm, Phường Yên Hòa, Cầu Giấy, Hà Nội","4,5 tỷ","42,3 m²",1 phòng,1 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
https://batdongsan.com.vn/ban-nha-rieng-pho-quan-nhan-phuong-nhan-chinh/ban-n-thanh-xuan-phan-lo-via-he-o-to-tranh-pr43110317,"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội","32,5 tỷ",60 m²,2 phòng,6 phòng,Đông,Đông,Sổ đỏ/ Sổ hồng,Cơ bản,9 tầng,"5,4 m",8 m
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-duong-noi-prj-an-quy-villa-kdt-duong-noi/ban-can-goc-dong-nam-gia-re-hon-40-ty-giao-lo-nga-tu-gan-cong-vien-thien-van-hoc-pr40136306,"Dự án An Quý Villa - KĐT Dương Nội, Phường Dương Nội, Hà Đông, Hà Nội",183 triệu/m²,180 m²,5 phòng,6 phòng,Đông - Nam,Đông - Nam,Sổ đỏ/ Sổ hồng,,3 tầng,10 m,30 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ngo-thi-nham-phuong-duong-noi-prj-anland-lakeview/-chinh-chu-ban-goc-74m2-2n-2w-gia-4ty750-view-dep-pr42112570,"Dự án Anland LakeView, Đường Ngô Thì Nhậm, Phường Dương Nội, Hà Đông, Hà Nội","4,95 tỷ",74 m²,2 phòng,2 phòng,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,
https://batdongsan.com.vn/ban-nha-rieng-phuong-thach-ban-1/trung-tam-gan-cau-vinh-tuy-3-buoc-ra-aeon-ngo-nong-rong-thoang-o-to-do-cong-52m2-5-55ty-pr42531698,"Phường Thạch Bàn, Long Biên, Hà Nội","5,8 tỷ",52 m²,,,,,Sổ đỏ.,,5 tầng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-pho-nguyen-thanh-binh-phuong-la-khe-prj-khu-do-thi-van-khe/160t-m-re-hon-ngo-sieu-bt-460m2-kdt-ha-dong-lo-goc-3-mat-tien-via-he-rong-kd-tap-nap-pr43084484,"Dự án Văn Khê, Phố Nguyễn Thanh Bình, Phường La Khê, Hà Đông, Hà Nội",70 tỷ,460 m²,6 phòng,,,,Sổ đỏ/ Sổ hồng,,4 tầng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-tran-phu-7-prj-gamuda-gardens/dep-me-ban-360m-4-ngu-khong-gian-song-ong-luu-hon-90-ty-pr43090582,"Dự án Gamuda Gardens, Phường Trần Phú, Hoàng Mai, Hà Nội","99,9 tỷ",360 m²,4 phòng,5 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,4 tầng,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-gia-thuong-phuong-ngoc-thuy/sieu-pham-toa-6-tang-x-80m2-mt4-5m-thang-may-full-kinh-doanh-dinh-cao-29-5ty-pr43110294,"Đường Gia Thượng, Phường Ngọc Thụy, Long Biên, Hà Nội","29,5 tỷ",80 m²,6 phòng,6 phòng,,,,,7 tầng,"4,5 m",
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-hong-phuong-lang-ha/toa-chdv-dong-tien-1-2-ty-nam-22-p-ba-gac-20m-ra-o-to-85m-pr43063714,"Đường Nguyên Hồng, Phường Láng Hạ, Đống Đa, Hà Nội",18 tỷ,85 m²,22 phòng,22 phòng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,7 tầng,,
